"-51.0384984, -29.9082136"
"-51.0173360, -29.9306393"
"-51.0870466, -29.9173350"
"-51.1087353, -29.9351141"
"-51.0485968, -29.9098208"
"-51.0734776, -29.9238478"
"-51.0917756, -29.9441096"
"-51.0879618, -29.9446113"
"-51.0962203, -29.9403525"
"-51.0197677, -29.9741972"
"-51.0867029, -29.9507040"
"-51.0628098, -29.9381163"
"-51.0564190, -29.9289259"
"-51.1063187, -29.9495340"
"-51.0333241, -29.9530500"
"-51.0251987, -29.9188870"
"-51.0595581, -29.9156940"
"-51.0325923, -29.9560023"
"-51.0901310, -29.9284815"
"-51.0564736, -29.9237541"
"-51.0746033, -29.9542715"
"-51.0830517, -29.9497718"
"-51.0331489, -29.9777533"
"-51.0943000, -29.9621112"
"-51.0593304, -29.9747409"
"-51.0403537, -29.9678542"
"-51.0957059, -29.9249278"
"-51.0253397, -29.9262997"
"-51.0292471, -29.9298456"
"-51.0110068, -29.9456922"
"-51.0380961, -29.9421968"
"-51.0687074, -29.9848856"
"-51.0443266, -29.9287688"
"-51.0305919, -29.9227065"
"-51.0675875, -29.9194705"
"-51.0287866, -29.9560700"
"-51.0408981, -29.9403333"
"-51.0215173, -29.9188648"
"-51.0975857, -29.9197624"
"-51.0367034, -29.9842874"
"-51.0437401, -29.9788388"
"-51.0863065, -29.9157946"
"-51.0379853, -29.9475887"
"-51.0845371, -29.9316520"
"-51.0887781, -29.9123668"
"-51.0656931, -29.9102956"
"-51.0489937, -29.9241569"
"-51.0248333, -29.9161569"
"-51.0551071, -29.9658745"
"-51.0687716, -29.9897703"
"-51.0764614, -29.9512535"
"-51.0607255, -29.9880434"
"-51.0110624, -29.9499946"
"-51.0254476, -29.9729855"
"-51.0660574, -29.9444093"
"-51.0398187, -29.9151687"
"-51.0421419, -29.9608134"
"-51.0966876, -29.9637113"
"-51.0811287, -29.9796195"
"-51.0236391, -29.9450823"
"-51.0518097, -29.9666702"
"-51.0901832, -29.9480821"
"-51.0347579, -29.9510790"
"-51.0256651, -29.9549468"
"-51.0951509, -29.9405313"
"-51.0641698, -29.9110394"
"-51.0901656, -29.9311519"
"-51.0567229, -29.9316467"
"-51.0653009, -29.9663060"
"-51.0457858, -29.9101790"
"-51.1078225, -29.9583023"
"-51.1032394, -29.9467208"
"-51.0207205, -29.9374552"
"-51.0585218, -29.9734942"
"-51.0429744, -29.9076523"
"-51.0901643, -29.9249423"
"-51.0073559, -29.9471058"
"-51.0392042, -29.9523203"
"-51.0993657, -29.9200618"
"-51.0858961, -29.9768522"
"-51.0698163, -29.9788966"
"-51.0575940, -29.9552674"
"-51.0354393, -29.9373176"
"-51.0614544, -29.9711706"
"-51.0695639, -29.9250490"
"-51.0693707, -29.9272114"
"-51.1035702, -29.9316837"
"-51.0404455, -29.9140266"
"-51.0141774, -29.9673500"
"-51.0280233, -29.9581728"
"-51.0553630, -29.9865026"
"-51.0332922, -29.9423949"
"-51.0356598, -29.9127777"
"-51.0380134, -29.9527152"
"-51.0547150, -29.9437576"
"-51.0869884, -29.9632335"
"-51.0552704, -29.9156235"
"-51.0571572, -29.9035769"
"-51.0794887, -29.9117265"
"-51.0615200, -29.9846510"
"-51.0475720, -29.9773788"
"-51.0985946, -29.9223181"
"-51.0181186, -29.9738997"
"-51.1087369, -29.9381395"
"-51.0758069, -29.9147109"
"-51.0450987, -29.9658213"
"-51.0442099, -29.9070023"
"-51.0266438, -29.9210149"
"-51.0084122, -29.9467622"
"-51.0697999, -29.9411820"
"-51.0182731, -29.9578967"
"-51.0656306, -29.9524337"
"-51.0937855, -29.9675060"
"-51.0815949, -29.9444093"
"-51.0493254, -29.9898216"
"-51.0392779, -29.9792732"
"-51.0708903, -29.9500119"
"-51.1042906, -29.9518531"
"-51.0506889, -29.9625762"
"-51.0449019, -29.9103790"
"-51.0428984, -29.9105299"
"-51.0588524, -29.9018586"
"-51.0502530, -29.9397645"
"-51.0173847, -29.9307499"
"-51.0791879, -29.9574195"
"-51.0462659, -29.9632861"
"-51.0125620, -29.9549297"
"-51.1012631, -29.9422362"
"-51.0758962, -29.9529820"
"-51.0350755, -29.9522612"
"-51.0333441, -29.9247229"
"-51.0529773, -29.9805612"
"-51.0887636, -29.9802683"
"-51.0206056, -29.9232802"
"-51.0158699, -29.9626613"
"-51.0413499, -29.9621940"
"-51.0087363, -29.9445944"
"-51.0434457, -29.9701897"
"-51.0380417, -29.9570912"
"-51.0606485, -29.9369061"
"-51.0281662, -29.9435309"
"-51.0646094, -29.9307737"
"-51.0945968, -29.9178781"
"-51.0439571, -29.9582768"
"-51.0670391, -29.9457758"
"-51.0497870, -29.9605716"
"-51.0477087, -29.9886180"
"-51.0868465, -29.9371712"
"-51.0450567, -29.9331381"
"-51.0354229, -29.9189219"
"-51.0779712, -29.9289397"
"-51.0165898, -29.9305084"
"-51.0309350, -29.9178852"
"-51.0881907, -29.9788247"
"-51.0660843, -29.9556761"
"-51.0329051, -29.9246676"
"-51.1019299, -29.9372846"
"-51.0732137, -29.9310657"
"-51.0975716, -29.9564631"
"-51.0610379, -29.9483498"
"-51.0826531, -29.9812911"
"-51.0318002, -29.9309383"
"-51.0671153, -29.9225717"
"-51.0241013, -29.9737620"
"-51.0452963, -29.9674650"
"-51.0752828, -29.9476291"
"-51.1059114, -29.9380442"
"-51.0483240, -29.9539306"
"-51.0862657, -29.9536235"
"-51.0940457, -29.9673700"
"-51.0296223, -29.9507455"
"-51.0619997, -29.9603723"
"-51.1011084, -29.9679349"
"-51.0477933, -29.9037241"
"-51.0319957, -29.9311676"
"-51.0918936, -29.9671252"
"-51.0437128, -29.9356537"
"-51.0806083, -29.9116292"
"-51.0383541, -29.9813255"
"-51.0919654, -29.9569716"
"-51.0690580, -29.9040157"
"-51.0632265, -29.9183728"
"-51.0476411, -29.9385077"
"-51.0534303, -29.9608030"
"-51.0134093, -29.9585199"
"-51.0983019, -29.9686810"
"-51.0329921, -29.9091056"
"-51.0387210, -29.9394155"
"-51.0502265, -29.9863355"
"-51.0464107, -29.9680519"
"-51.0788486, -29.9188234"
"-51.0334935, -29.9397778"
"-51.0157526, -29.9526599"
"-51.0847046, -29.9634094"
"-51.0742834, -29.9099220"
"-51.0758284, -29.9217550"
"-51.0753019, -29.9592756"
"-51.0891044, -29.9761581"
"-51.0556483, -29.9478413"
"-51.0860567, -29.9100779"
"-51.0393448, -29.9340522"
"-51.0825463, -29.9102233"
"-51.0492557, -29.9309015"
"-51.0722262, -29.9228481"
"-51.0284599, -29.9699352"
"-51.0079766, -29.9435348"
"-51.0932280, -29.9132513"
"-51.0881508, -29.9483518"
"-51.0831336, -29.9678253"
"-51.0992582, -29.9695984"
"-51.0617840, -29.9355956"
"-51.0133637, -29.9546851"
"-51.1045814, -29.9604773"
"-51.0783049, -29.9218791"
"-51.0163319, -29.9418418"
"-51.0286657, -29.9723686"
"-51.0685097, -29.9864395"
"-51.0622432, -29.9731045"
"-51.0206477, -29.9547965"
"-51.1088494, -29.9492338"
"-51.0486769, -29.9429347"
"-51.0743894, -29.9362948"
"-51.0376248, -29.9867569"
"-51.0970295, -29.9403989"
"-51.0334978, -29.9395081"
"-51.0835628, -29.9748069"
"-51.0627998, -29.9776301"
"-51.0717498, -29.9062849"
"-51.0659102, -29.9345865"
"-51.0576535, -29.9317732"
"-51.0924365, -29.9226875"
"-51.0968406, -29.9701676"
"-51.0528838, -29.9024339"
"-51.0328190, -29.9216070"
"-51.0537512, -29.9764115"
"-51.0708003, -29.9042662"
"-51.0266374, -29.9761797"
"-51.1007365, -29.9289439"
"-51.0394305, -29.9276513"
"-51.0488421, -29.9861272"
"-51.0229935, -29.9464336"
"-51.0825529, -29.9685925"
"-51.0720232, -29.9639585"
"-51.0439265, -29.9516154"
"-51.0911109, -29.9331899"
"-51.0969228, -29.9244076"
"-51.0607912, -29.9857715"
"-51.0607229, -29.9900717"
"-51.0580743, -29.9698105"
"-51.0638292, -29.9733481"
"-51.0542280, -29.9179978"
"-51.0179149, -29.9255803"
"-51.0128228, -29.9633145"
"-51.0298328, -29.9826789"
"-51.0777511, -29.9488726"
"-51.0596219, -29.9815776"
"-51.0550504, -29.9574977"
"-51.0913185, -29.9518084"
"-51.0542861, -29.9097352"
"-51.0289991, -29.9255064"
"-51.0934165, -29.9137303"
"-51.0458725, -29.9454819"
"-51.1079490, -29.9382500"
"-51.0795147, -29.9747527"
"-51.0657937, -29.9244235"
"-51.0767006, -29.9524895"
"-51.0800424, -29.9437709"
"-51.0688714, -29.9849619"
"-51.0726092, -29.9528520"
"-51.0598774, -29.9329154"
"-51.0844974, -29.9543191"
"-51.0912674, -29.9373462"
"-51.0350323, -29.9506324"
"-51.0263119, -29.9159983"
"-51.0492034, -29.9480739"
"-51.0700457, -29.9156762"
"-51.0284931, -29.9211134"
"-51.0299975, -29.9463848"
"-51.0911404, -29.9578997"
"-51.0911073, -29.9223162"
"-51.0725824, -29.9156503"
"-51.0727638, -29.9699952"
"-51.0351807, -29.9801889"
"-51.0381547, -29.9672118"
"-51.0643993, -29.9327154"
"-51.0578195, -29.9026620"
"-51.0280888, -29.9393941"
"-51.0419472, -29.9184608"
"-51.0201593, -29.9329429"
"-51.0456802, -29.9470875"
"-51.1049951, -29.9625886"
"-51.0407109, -29.9265975"
"-51.0791842, -29.9767602"
"-51.0870811, -29.9148434"
"-51.0626308, -29.9714309"
"-51.0361627, -29.9671492"
"-51.0263804, -29.9635167"
"-51.0706835, -29.9828657"
"-51.0848637, -29.9504176"
"-51.0872834, -29.9298406"
"-51.0710905, -29.9562921"
"-51.0839893, -29.9181057"
"-51.0383839, -29.9429799"
"-51.0488639, -29.9271622"
"-51.0134165, -29.9332329"
"-51.0722921, -29.9653745"
"-51.0868446, -29.9720899"
"-51.0298800, -29.9510024"
"-51.0771458, -29.9430637"
"-51.0116907, -29.9580769"
"-51.0446277, -29.9806651"
"-51.0189609, -29.9441368"
"-51.0895927, -29.9177707"
"-51.0911200, -29.9319340"
"-51.0862768, -29.9254530"
"-51.0990255, -29.9332440"
"-51.0290541, -29.9435665"
"-51.0472950, -29.9293971"
"-51.0207275, -29.9217751"
"-51.0194788, -29.9573600"
"-51.0536942, -29.9726715"
"-51.0941775, -29.9200522"
"-51.0248548, -29.9176506"
"-51.1006141, -29.9401938"
"-51.0358804, -29.9320704"
"-51.0395476, -29.9515155"
"-51.0503627, -29.9253407"
"-51.0567753, -29.9817171"
"-51.0699844, -29.9575592"
"-51.0446293, -29.9095743"
"-51.0393169, -29.9816286"
"-51.0793798, -29.9616322"
"-51.0780239, -29.9174872"
"-51.0305083, -29.9397088"
"-51.0728801, -29.9075382"
"-51.0350253, -29.9373557"
"-51.0672529, -29.9459569"
"-51.1047812, -29.9382804"
"-51.0793857, -29.9801921"
"-51.0467113, -29.9213660"
"-51.0154716, -29.9379000"
"-51.0281513, -29.9244259"
"-51.0144136, -29.9643899"
"-51.0432462, -29.9514823"
"-51.0653159, -29.9226894"
"-51.0572805, -29.9316488"
"-51.0599522, -29.9745093"
"-51.0642919, -29.9745437"
"-51.0601968, -29.9214320"
"-51.0524614, -29.9188669"
"-51.0448969, -29.9824974"
"-51.0611299, -29.9426930"
"-51.0688609, -29.9521139"
"-51.0502000, -29.9746128"
"-51.0986905, -29.9584712"
"-51.0416654, -29.9061286"
"-51.0798341, -29.9288686"
"-51.0833884, -29.9360757"
"-51.0850991, -29.9438628"
"-51.0688697, -29.9224857"
"-51.0662705, -29.9217227"
"-51.1032611, -29.9543649"
"-51.0735533, -29.9272383"
"-51.0197865, -29.9316212"
"-51.0546033, -29.9445415"
"-51.0416689, -29.9787225"
"-51.0602452, -29.9235300"
"-51.0417052, -29.9305677"
"-51.0256272, -29.9302322"
"-51.0365501, -29.9774413"
"-51.0559468, -29.9474471"
"-51.0546604, -29.9301092"
"-51.0713644, -29.9862671"
"-51.0190397, -29.9539123"
"-51.0985892, -29.9370380"
"-51.0141981, -29.9495885"
"-51.0170685, -29.9608702"
"-51.0699065, -29.9064965"
"-51.1009966, -29.9644983"
"-51.0343561, -29.9753342"
"-51.0785735, -29.9740337"
"-51.0729000, -29.9632273"
"-51.0336260, -29.9285813"
"-51.0753335, -29.9607744"
"-51.0807459, -29.9819508"
"-51.0639278, -29.9092561"
"-51.0538379, -29.9848531"
"-51.0751191, -29.9230655"
"-51.0370354, -29.9760304"
"-51.0982964, -29.9680384"
"-51.0903642, -29.9778008"
"-51.0124731, -29.9581100"
"-51.0747590, -29.9327480"
"-51.0498621, -29.9850295"
"-51.1068454, -29.9429279"
"-51.0438860, -29.9886624"
"-51.0656331, -29.9378949"
"-51.0403882, -29.9798775"
"-51.0086372, -29.9513289"
"-51.0215804, -29.9541033"
"-51.0297317, -29.9643918"
"-51.0483190, -29.9665984"
"-51.0560759, -29.9183563"
"-51.0294374, -29.9595244"
"-51.0323763, -29.9592568"
"-51.0149461, -29.9432436"
"-51.0326194, -29.9305823"
"-51.0316352, -29.9322915"
"-51.0892306, -29.9649233"
"-51.0973446, -29.9286356"
"-51.0920539, -29.9785012"
"-51.0574662, -29.9194919"
"-51.0206099, -29.9686771"
"-51.0088292, -29.9352428"
"-51.0778493, -29.9109166"
"-51.1012491, -29.9596361"
"-51.0359725, -29.9175588"
"-51.0473602, -29.9860328"
"-51.0583061, -29.9627210"
"-51.1003100, -29.9562070"
"-51.0478104, -29.9853298"
"-51.0678784, -29.9135332"
"-51.0581058, -29.9181553"
"-51.0675501, -29.9303851"
"-51.0320929, -29.9082134"
"-51.0211955, -29.9572935"
"-51.0240017, -29.9722455"
"-51.0952521, -29.9163067"
"-51.0413675, -29.9144825"
"-51.0344671, -29.9614683"
"-51.0468430, -29.9268558"
"-51.1062107, -29.9374463"
"-51.0484756, -29.9893742"
"-51.0925291, -29.9568125"
"-51.0773329, -29.9764952"
"-51.0642998, -29.9024328"
"-51.1048428, -29.9280913"
"-51.0462569, -29.9846181"
"-51.1065473, -29.9550163"
"-51.0780597, -29.9793643"
"-51.0742037, -29.9206684"
"-51.0855040, -29.9450394"
"-51.0421291, -29.9309546"
"-51.0508703, -29.9446293"
"-51.0295933, -29.9637003"
"-51.0307742, -29.9374724"
"-51.0097358, -29.9364367"
"-51.0707807, -29.9773404"
"-51.1099806, -29.9401602"
"-51.0567131, -29.9550805"
"-51.0258126, -29.9601545"
"-51.0422023, -29.9557819"
"-51.0262531, -29.9541810"
"-51.0149120, -29.9615717"
"-51.0162241, -29.9599026"
"-51.0942454, -29.9533916"
"-51.0490551, -29.9142837"
"-51.0205572, -29.9550808"
"-51.0515158, -29.9746434"
"-51.0486106, -29.9561741"
"-51.0880339, -29.9256630"
"-51.0609571, -29.9752695"
"-51.0819224, -29.9710367"
"-51.0697753, -29.9552047"
"-51.0921909, -29.9214626"
"-51.0263276, -29.9613581"
"-51.0197872, -29.9538950"
"-51.0714352, -29.9731952"
"-51.0447568, -29.9136870"
"-51.0924436, -29.9269043"
"-51.0525032, -29.9129768"
"-51.0831554, -29.9201972"
"-51.1044431, -29.9603172"
"-51.0149968, -29.9434664"
"-51.0538757, -29.9132812"
"-51.0762000, -29.9150253"
"-51.0840510, -29.9722010"
"-51.0402086, -29.9209002"
"-51.0767999, -29.9818948"
"-51.0545767, -29.9241384"
"-51.0884810, -29.9231207"
"-51.0401587, -29.9787484"
"-51.0762923, -29.9160736"
"-51.0631114, -29.9408731"
"-51.0465293, -29.9089731"
"-51.0937783, -29.9482664"
"-51.1034900, -29.9641235"
"-51.0465711, -29.9080148"
"-51.0914503, -29.9281734"
"-51.0358588, -29.9389286"
"-51.0116976, -29.9370193"
"-51.0459182, -29.9331181"
"-51.0357475, -29.9432984"
"-51.0227684, -29.9272867"
"-51.0981825, -29.9200241"
"-51.0851472, -29.9386753"
"-51.0393138, -29.9472982"
"-51.0552312, -29.9389535"
"-51.0784329, -29.9861446"
"-51.0600993, -29.9822042"
"-51.0469092, -29.9527642"
"-51.0729903, -29.9264905"
"-51.0681744, -29.9783911"
"-51.0876372, -29.9403344"
"-51.0228895, -29.9248255"
"-51.0215846, -29.9535634"
"-51.0861466, -29.9684773"
"-51.0345490, -29.9181522"
"-51.0745235, -29.9596339"
"-51.0992344, -29.9335218"
"-51.0445935, -29.9775098"
"-51.0213337, -29.9597493"
"-51.0854055, -29.9725653"
"-51.0790077, -29.9355234"
"-51.0421291, -29.9094164"
"-51.1043494, -29.9328621"
"-51.0118570, -29.9327265"
"-51.0751851, -29.9852695"
"-51.0667848, -29.9395966"
"-51.0088753, -29.9456420"
"-51.0682579, -29.9484555"
"-51.0713716, -29.9840963"
"-51.0563445, -29.9855702"
"-51.0826462, -29.9207117"
"-51.0343036, -29.9626240"
"-51.0575659, -29.9426158"
"-51.0464364, -29.9134842"
"-51.0447278, -29.9823568"
"-51.0626486, -29.9487985"
"-51.0523796, -29.9136826"
"-51.0757774, -29.9878531"
"-51.0328246, -29.9272974"
"-51.0837961, -29.9777708"
"-51.0773469, -29.9287812"
"-51.0719475, -29.9408977"
"-51.1063301, -29.9495088"
"-51.0508224, -29.9046509"
"-51.0346643, -29.9082214"
"-51.0779785, -29.9618690"
"-51.0110183, -29.9420713"
"-51.0652932, -29.9074904"
"-51.0533124, -29.9506179"
"-51.0954049, -29.9589464"
"-51.0606619, -29.9797195"
"-51.0273203, -29.9437549"
"-51.0677883, -29.9061692"
"-51.0829409, -29.9343321"
"-51.0113143, -29.9538475"
"-51.0356728, -29.9806615"
"-51.0924072, -29.9677314"
"-51.0206468, -29.9720554"
"-51.0263340, -29.9352084"
"-51.0387252, -29.9276825"
"-51.0634392, -29.9744616"
"-51.0590554, -29.9317557"
"-51.0127511, -29.9293692"
"-51.0583043, -29.9107512"
"-51.0910131, -29.9483470"
"-51.0798007, -29.9649844"
"-51.1000953, -29.9470294"
"-51.0351687, -29.9775747"
"-51.0443095, -29.9476579"
"-51.0477632, -29.9366544"
"-51.0956349, -29.9236475"
"-51.0716077, -29.9483002"
"-51.0610703, -29.9788999"
"-51.0750674, -29.9624824"
"-51.0341838, -29.9774623"
"-51.0649538, -29.9367294"
"-51.0879818, -29.9102563"
"-51.0506102, -29.9687792"
"-51.0516222, -29.9396427"
"-51.0232811, -29.9567742"
"-51.0531329, -29.9267563"
"-51.0370934, -29.9406939"
"-51.0402452, -29.9703243"
"-51.0888820, -29.9351918"
"-51.0549129, -29.9876431"
"-51.0273901, -29.9767252"
"-51.0152181, -29.9394699"
"-51.0787390, -29.9670385"
"-51.0663647, -29.9171899"
"-51.0815349, -29.9182178"
"-51.0330077, -29.9728010"
"-51.0368749, -29.9752613"
"-51.0464316, -29.9076672"
"-51.0525989, -29.9200793"
"-51.0919479, -29.9406078"
"-51.0222706, -29.9704464"
"-51.0433485, -29.9162836"
"-51.0284224, -29.9187211"
"-51.0407309, -29.9555891"
"-51.0217082, -29.9670855"
"-51.0182409, -29.9538661"
"-51.0121295, -29.9289533"
"-51.0367846, -29.9128212"
"-51.0600388, -29.9854487"
"-51.0418011, -29.9108096"
"-51.0200252, -29.9414308"
"-51.0777205, -29.9317360"
"-51.0977700, -29.9734046"
"-51.1014830, -29.9232744"
"-51.0648998, -29.9599986"
"-51.0412316, -29.9574484"
"-51.0241049, -29.9776657"
"-51.0601296, -29.9863959"
"-51.0409764, -29.9047225"
"-51.0271106, -29.9751203"
"-51.0534458, -29.9902530"
"-51.0779925, -29.9186618"
"-51.0534247, -29.9781045"
"-51.0407987, -29.9835566"
"-51.0260698, -29.9281312"
"-51.0449238, -29.9207914"
"-51.0253101, -29.9214199"
"-51.0634430, -29.9294825"
"-51.0699893, -29.9023405"
"-51.0161093, -29.9445425"
"-51.0554496, -29.9517406"
"-51.0085452, -29.9446193"
"-51.0681197, -29.9516795"
"-51.0819473, -29.9602662"
"-51.0277111, -29.9311328"
"-51.0412527, -29.9857616"
"-51.0890972, -29.9577686"
"-51.0338140, -29.9643562"
"-51.0855402, -29.9784812"
"-51.0499690, -29.9170561"
"-51.0827247, -29.9606596"
"-51.0822862, -29.9405464"
"-51.0464585, -29.9887141"
"-51.0522994, -29.9215085"
"-51.0816913, -29.9686069"
"-51.0684387, -29.9164198"
"-51.0567780, -29.9571996"
"-51.0092867, -29.9562157"
"-51.0260262, -29.9162135"
"-51.0752523, -29.9778394"
"-51.0414086, -29.9631758"
"-51.0999123, -29.9347020"
"-51.0962042, -29.9546462"
"-51.0671907, -29.9073465"
"-51.0096337, -29.9430384"
"-51.0768935, -29.9043698"
"-51.0464552, -29.9328697"
"-51.0724490, -29.9608977"
"-51.0085651, -29.9396391"
"-51.0504805, -29.9189929"
"-51.0532035, -29.9815122"
"-51.0602908, -29.9339309"
"-51.0854227, -29.9384202"
"-51.0682001, -29.9777324"
"-51.0286543, -29.9668670"
"-51.0719512, -29.9523198"
"-51.0551929, -29.9590824"
"-51.0883333, -29.9723844"
"-51.0538062, -29.9062195"
"-51.0580945, -29.9864493"
"-51.0634930, -29.9698070"
"-51.0696087, -29.9272610"
"-51.1017249, -29.9395504"
"-51.0075257, -29.9443964"
"-51.0897310, -29.9748185"
"-51.0548023, -29.9830227"
"-51.0838719, -29.9535065"
"-51.0240142, -29.9403362"
"-51.0418180, -29.9566851"
"-51.0773555, -29.9750749"
"-51.0734127, -29.9811061"
"-51.0659437, -29.9207789"
"-51.0354929, -29.9710125"
"-51.0555103, -29.9320265"
"-51.0519655, -29.9702384"
"-51.0287673, -29.9468371"
"-51.0469739, -29.9636756"
"-51.0878392, -29.9333763"
"-51.0498198, -29.9459933"
"-51.0265511, -29.9166750"
"-51.0748226, -29.9091296"
"-51.0832408, -29.9265452"
"-51.0628613, -29.9392557"
"-51.0588151, -29.9803922"
"-51.0662054, -29.9194257"
"-51.0662173, -29.9321505"
"-51.0360401, -29.9473696"
"-51.0259679, -29.9645619"
"-51.0409706, -29.9258104"
"-51.0758482, -29.9676681"
"-51.0412116, -29.9187660"
"-51.0490937, -29.9483542"
"-51.0901246, -29.9154548"
"-51.0868760, -29.9421015"
"-51.0381124, -29.9174294"
"-51.0271909, -29.9699905"
"-51.0671783, -29.9805620"
"-51.0244982, -29.9754069"
"-51.0743331, -29.9232503"
"-51.0904207, -29.9132831"
"-51.0521171, -29.9739693"
"-51.0974240, -29.9530865"
"-51.0657309, -29.9369552"
"-51.0776762, -29.9470388"
"-51.0072506, -29.9507977"
"-51.0802414, -29.9713969"
"-51.0643036, -29.9873030"
"-51.0217589, -29.9646218"
"-51.0417213, -29.9128387"
"-51.0186929, -29.9485570"
"-51.0915064, -29.9779674"
"-51.0662435, -29.9889306"
"-51.0374042, -29.9252473"
"-51.0958316, -29.9507467"
"-51.0227610, -29.9682952"
"-51.0375751, -29.9808829"
"-51.0092346, -29.9551461"
"-51.0883396, -29.9341889"
"-51.0197187, -29.9349462"
"-51.0151703, -29.9326707"
"-51.0609091, -29.9253401"
"-51.0924222, -29.9440919"
"-51.0530461, -29.9195402"
"-51.0611488, -29.9182642"
"-51.0855667, -29.9092327"
"-51.0917482, -29.9674407"
"-51.0528788, -29.9170349"
"-51.0442010, -29.9071772"
"-51.0262753, -29.9197341"
"-51.0484743, -29.9328221"
"-51.0252672, -29.9233151"
"-51.0573451, -29.9169900"
"-51.0330430, -29.9306540"
"-51.0955599, -29.9332001"
"-51.0887249, -29.9654426"
"-51.1070678, -29.9466107"
"-51.0872299, -29.9541278"
"-51.0363700, -29.9319984"
"-51.0314461, -29.9151860"
"-51.0448836, -29.9766822"
"-51.0260309, -29.9693572"
"-51.1059816, -29.9554325"
"-51.0585357, -29.9210137"
"-51.0516757, -29.9844465"
"-51.0177189, -29.9669621"
"-51.0711156, -29.9754302"
"-51.0241586, -29.9711990"
"-51.0301725, -29.9738704"
"-51.1033041, -29.9502255"
"-51.0112546, -29.9460943"
"-51.0277048, -29.9297432"
"-51.0402462, -29.9213053"
"-51.0967457, -29.9570721"
"-51.0797720, -29.9373906"
"-51.0436018, -29.9113658"
"-51.0081305, -29.9525187"
"-51.0947980, -29.9600281"
"-51.0312971, -29.9450267"
"-51.0943142, -29.9757736"
"-51.0168376, -29.9567545"
"-51.0396059, -29.9383014"
"-51.0571758, -29.9480036"
"-51.0537787, -29.9423739"
"-51.0379593, -29.9381232"
"-51.0506575, -29.9703433"
"-51.0986676, -29.9416947"
"-51.0885132, -29.9764610"
"-51.0261534, -29.9598024"
"-51.0326863, -29.9803125"
"-51.0150404, -29.9426285"
"-51.0891742, -29.9703401"
"-51.0613712, -29.9674241"
"-51.0561232, -29.9571532"
"-51.0338988, -29.9251799"
"-51.0894171, -29.9603187"
"-51.0094747, -29.9603822"
"-51.0266041, -29.9370659"
"-51.0951545, -29.9600639"
"-51.0523965, -29.9585747"
"-51.0655200, -29.9813016"
"-51.0468681, -29.9465632"
"-51.0522596, -29.9482588"
"-51.0207669, -29.9406799"
"-51.0804293, -29.9713136"
"-51.0973441, -29.9449843"
"-51.0660601, -29.9650054"
"-51.0897346, -29.9746967"
"-51.0875288, -29.9651105"
"-51.0093220, -29.9451882"
"-51.0503152, -29.9652414"
"-51.0279339, -29.9694610"
"-51.0517268, -29.9160018"
"-51.0807960, -29.9707918"
"-51.0884070, -29.9681782"
"-51.0913783, -29.9671047"
"-51.0597116, -29.9459106"
"-51.0799751, -29.9256303"
"-51.0779622, -29.9621580"
"-51.0822163, -29.9059552"
"-51.0587835, -29.9797047"
"-51.1028200, -29.9534887"
"-51.0293063, -29.9574256"
"-51.0219395, -29.9186571"
"-51.0150528, -29.9397874"
"-51.0283492, -29.9780795"
"-51.0310204, -29.9150518"
"-51.0601625, -29.9803146"
"-51.0724847, -29.9202202"
"-51.0203033, -29.9600146"
"-51.0206895, -29.9194768"
